,community,username,tweet
2054,0,newscomauHQ,"ABBOTT: ""This is a good day, a historic day, for Western Sydney."" #badgeryscreekairport  http://bit.ly/1gzsYwm ABBOTT: ""We believe there will be at least 60,000 more jobs in Western Sydney."" #badgeryscreekairport  http://bit.ly/1gzsYwm .@TonyAbbottMHR press conference discussing Badgerys creek airport now. Stay tuned.  http://news.com.au While you talked airports and Badgerys Creek, the rest of the world achieved this in 45 YEARS  http://bit.ly/1hGygLH  #badgeryscreek"
1132,0,SkyNewsAust,".@AlboMP says even if the Badgerys Creek airport wasn't built the north-south rail link would be essential. MORE  http://bit.ly/2pyeSuE  pic.twitter.com/GzZUTu1CeQ.@PaulFletcherMP says the Badgerys Creek Airport will initially serve the people of Western Sydney and infrastructure will reflect that  pic.twitter.com/HXzyG7jls8.@PaulFletcherMP says the Badgerys Creek Airport will be operational by 2026 even if Sydney Airport Group reject the notice of intention  pic.twitter.com/3aXzSfjcaZ.@AngusTaylorMP says the Badgerys Creek airport will be a 'job magnet'. #beattieandreith #auspol pic.twitter.com/PcYDAJoGok.@PaulFletcherMP says a second Sydney airport at Badgerys Creek will create 9000 jobs by 2031 and be a closer option for 2m people  pic.twitter.com/K8DtnH7eyh.@JasonClareMP says the rail line for a second Sydney airport at Badgerys Creek needs to be in place from 'day one' #auspol pic.twitter.com/CRJxrdf6Zg.@ZedSeselja says the government understands the importance of the Badgerys Creek airport to western Sydney #auspol  http://snpy.tv/2huGMTQ .@ZedSeselja says there are question marks over Labor's support for the airport at Badgerys Creek in Sydney #auspol.@PaulFletcherMP says a rail link to Badgerys Creek airport may be built in the future when there is more demand   http://snpy.tv/2hk84MX .@PaulFletcherMP says the first stage of the Badgerys Creek airport will have capacity for up to 10 million passengers a year #auspol.@PaulFletcherMP outlines the proposed flight paths in and out of Badgerys Creek airport  http://snpy.tv/2gu9Tai .@TurnbullMalcolm has signed off on the Badgerys Creek Airport, with the first flights taking off by the mid 2020s  http://snpy.tv/2gqdYr6 #BREAKING: Prime Minister Malcolm Turnbull has approved the construction of an airport at Badgerys Creek in Sydney.Badgerys Creek airport will address unemployment in Western Sydney says David Borger from Sydney Business Chamber  http://snpy.tv/2gtPbr1 Abbott: construction of second Sydney airport at Badgerys Creek will start in 2016  (@ash_gillon)Abbott expected to confirm 2nd Sydney airport at Badgerys Creek at pressa in a few mins - live  (@ash_gillon)My understanding is the Cabinet approval of Badgerys Creek airport will happen b/w late Feb & mid March  (@Kieran_Gilbert)"
1110,0,Sandra_Sully,"Fifty years after it was first flagged as the site of a new airport in the late 1960's, construction has finally begun at Badgerys Creek. #TenNews @lachlan_kennedy pic.twitter.com/SRPFcAKQJRPrime Minister @TurnbullMalcolm joined the NSW Premier @GladysB to spruik the new airport city planned around the site at Badgerys creek. #TenNews @ursulaheger pic.twitter.com/D4DyQ3XWo1Sydney families forced from their homes by the new Badgerys Creek airport – but they’re not giving up. #TenNews pic.twitter.com/xKZ3nyVQNAAfter more than 50 yrs of debate, green light finally given 2 Sydney’s crucial 2nd airport Badgerys Creek #TenNews pic.twitter.com/Cb7JGPs2VlFormer Liberal Jackie Kelly preferences Labor in crazy bid to block Badgerys Creek Airport.It's taken 50 years... but at last @TonyAbbottMHR finally approves a new airport at #Badgerys Creek. What u need to know @ 5 on #TenNewsBadgerys Creek stalled: Prime Minister Tony Abbott delays airport take-off via @dailytelegraph  http://www.dailytelegraph.com.au/news/national/badgerys-creek-stalled-prime-minister-tony-abbott-delays-airport-takeoff/story-fni0xqrc-1226825114393 …Badgerys Creek airport project finally lifts off. @dailytelegraph  http://www.dailytelegraph.com.au/news/nsw/badgerys-creek-airport-project-finally-lifts-off/story-fni0cx12-1226818087118 …Locals want a second airport at Badgerys Creek  http://www.dailytelegraph.com.au/news/nsw/locals-want-a-second-airport-at-badgerys-creek/story-fni0cx12-1226703806797?sv=e31a034be774554140cb768c5fc0571d#.UhpFFaJyH2E.twitter …"
1624,0,dailytelegraph,"Australia’s two biggest airlines have put their hands up to help with the design and planning of the new Western Sydney Airport with work to begin at Badgerys Creek in September.
 http://bit.ly/2HXa0Y0 EXCLUSIVE: TWO of Australia’s budget airlines are planning to operate flights from Sydney’s second airport at Badgerys Creek the day it becomes operational in 2026. Via @ed__boyd   http://bit.ly/2zKyT7e It is Sydney’s most prestigious hospitals and a leader in health care. Now, St Vincent’s Hospital has revealed plans to expand west and build a new health facility near Badgerys Creek airport. Via @mirandamwood http://bit.ly/2K4k4RT A fast-tracked train line between Parramatta and the Badgerys Creek airport would immensely boost the prospects of the southwestern suburbs around Fairfield highlighted by the “white flight” furore. Via @clarissa_bye  http://bit.ly/2KW9MyU The dynamic duo that launched Optus in Australia to take on Telstra is in another underdog fight — steering Western Sydney Airport. Paul O’Sullivan and Paul Fletcher reveal their ambitions for Badgerys Creek in their first interview together. Via @ed__boyd  http://bit.ly/2IOVEef NSW Premier @GladysB says Badgerys Creek's new airport will form a ""new city where the jobs are"" on #mirandalive  http://bit.ly/2Cnwdx0  pic.twitter.com/T5ai347GqkSecond airport Badgerys Creek promises to be huge jobs creator for Western Sydney #ProjectSydney  http://bit.ly/2rRdIbq Chinese property investors search for Badgerys Creek Airport opportunities  http://bit.ly/2rs6uu4 Land sales to Chinese property investors continue to take off around Badgerys Creek Airport.  http://bit.ly/2rpyuhU  via @byalisoncheungGlobal defence giant Northrop Grumman will build $50 million ‘centre of excellence’ at Badgerys Creek Airport  http://bit.ly/2pzGdNs EXCLUSIVE: A global defence giant will build a $50M centre of excellence at the new Badgerys Creek airport -  http://bit.ly/2qkgBRX Chinese investors pounce on Badgerys Creek airport land as prices set to soar. Via @AnnabelHennessy & @kloussikian http://bit.ly/2pythFV Labor backs Turnbull government to develop $6b second airport at Badgerys Creek through a NBN Co-like corporation  http://bit.ly/2p38eJa  pic.twitter.com/8OY2aeLAHANSW Premier Gladys Berejiklian says federal government now has some 'exciting options' for Badgerys Creek Airport.  http://bit.ly/2p2KVip  pic.twitter.com/vgja5ZDqagSydney Airport Corporation turns down option of building $6b Badgerys Creek days before deadline. Via @kloussikian http://bit.ly/2oZzXtt International flights to run from Newcastle — a year ahead of Badgerys Creek airport  http://bit.ly/2py2om1 International flights to run from Newcastle — a year ahead of Badgerys Creek airport:  http://bit.ly/2oMQV2G Labor’s $400m rail promise that would connect Badgerys Creek airport to suburbs from day ONE.  http://bit.ly/2qcXGqS Badgerys Creek: Labor critics left red-faced as survey reveals majority of voters in favour of airport  http://bit.ly/2kkzKmU CSIRO to test out innovations on 3400 homes being built at Luddenham, near the new airport at Badgerys Creek.  http://bit.ly/2kszMZn  pic.twitter.com/8zXP13XadlBadgerys Creek: Anthony Albanese slams critics of Sydney’s second airport  http://bit.ly/2hu4sqT Badgerys Creek: Turnbull gets tough on Sydney Airport Group with May deadline  http://bit.ly/2iowse3 Badgerys Creek airport: Labor MPs send mixed messages  http://bit.ly/2hATtdm Badgerys Creek: The Labor MPs trying to stop our second airport taking off  http://bit.ly/2gEMqBR First impressions of what Sydney's new airport Badgerys Creek will look like in the mid-2020s.  http://bit.ly/2hjlRmO  pic.twitter.com/WQib7jWMBZ#Qantas CEO Alan Joyce welcomes news PM will sign off on Badgerys Creek airport today @dailytelegraph pic.twitter.com/DcRYK9hFsRBadgerys Creek airport will today get the final tick of approval  http://bit.ly/2gPbIeh Flight path from hell: Badgerys Creek Airport could host 1110 flights a day by 2063.  http://bit.ly/2dulxPA  pic.twitter.com/EoGqm7VAuvBadgerys Creek airport: New bid to limit noise from jet aircraft  http://bit.ly/2cOJH4I  pic.twitter.com/ugxhfJ6KhkSydney may finally get its 2nd airport, with the Budget pledging $115 million towards  Badgerys Creek  http://bit.ly/1pYAxI1  #Budget2016Labor to impose night ‘no fly zone’ around new Badgerys Creek airport if it wins govt, reports @simonbenson  http://www.dailytelegraph.com.au/news/labor-would-impose-night-time-no-fly-zones-at-badgerys-creek-creek-if-they-win-election/news-story/8a242134d6c5e853549e9492979a8e8c …Badgerys Creek: West’s airport boom is taking off  http://bit.ly/1YsnFW0  pic.twitter.com/1B7LNZSetcPM Turnbull commits to Badgerys Creek Airport fast rail network.  http://bit.ly/1SDMf6D  pic.twitter.com/KWYHe7zVXdSydney CBD to Badgerys Creek Airport in 34 minutes. It's a possibility with new $8b plan.  http://bit.ly/1T4ZlJw  pic.twitter.com/ECEPzZKRwrOpposition leader @billshortenmp booed over comments about second airport at Badgerys Creek  http://bit.ly/1PcZsQH  pic.twitter.com/85B2s5Dag3Ghoulish task begins of exhuming bodies to make way for Badgerys Creek Airport. ttp://bit.ly/1QeN9od  pic.twitter.com/2uu6bJsCw7Turnbull considers $10 airport tax to fund Badgerys Creek.  http://bit.ly/1RZPxhN  pic.twitter.com/4EKu4G4I3uGraves of 50 people to be dug up for new airport at Badgerys Creek.  http://bit.ly/1Lrsfi6  pic.twitter.com/sudhFGLue7Badgerys Creek airport: Modern aircraft means no need for 11pm curfew  http://bit.ly/1OfOtmo EXCLUSIVE: Badgerys Creek airport - Sydney's bold plan is taking wing. #BadgerysCreek  http://www.dailytelegraph.com.au/news/nsw/badgerys-creek-airport-sydneys-bold-plan-is-taking-wing/story-fni0cx12-1227304121459 …Former Liberal Jackie Kelly preferences Labor in crazy bid to block Badgerys Creek Airport  http://bit.ly/1y2pTy3  #nswpol #NSWvotesSabotage: Put towers in the way to stop Badgerys Creek Airport, says Blacktown Mayor Stephen Bali  http://bit.ly/1CqjNx5 Have your say? Should we change Badgerys Creek to Bradfield Airport?  http://bit.ly/10xcseM  #poll #questiontime pic.twitter.com/RFo98HHHo7Airport coming: Convicted firebug Joshua Staples wants cash to leave Badgerys Creek  http://bit.ly/1yZUEFk  pic.twitter.com/aWioI0ETj4Making sure Sydney’s future is flying high: Push to name new Badgerys Creek airport after John Bradfield  http://bit.ly/1x4wWd2 Badgerys Creek airport coming to life in conceptual plan  http://bit.ly/1w7C0vC  #sydneyairport pic.twitter.com/7GTZuqIL3sBadgerys Creek airport image is a nickname comp waiting to happen. What does it remind you of?  http://bit.ly/1FOZgma  pic.twitter.com/U9FStvWKx9Alan Joyce: “Qantas has long supported the building of a second airport at Badgerys Creek"" #fairgowest  http://bit.ly/1jGADNb On The Tele: live morning blog - Badgerys Creek airport to go to cabinet today #sydney  http://bit.ly/1n71V2J  pic.twitter.com/Hc1wcLWj8hBadgerys Creek is firming as the site for Sydney's second airport. Should it be built there or somewhere else?  http://fb.me/2HoFOCTkM Councils join push for airport: SUPPORT for a second airport at Badgerys Creek has received another significan...  http://bit.ly/16ZvhDR Do you think Badgerys Creek is the right spot for Sydney's second airport? And do we even need a second one;...  http://fb.me/1jV492iXV Qantas' Alan Joyce says ignore Barry O'Farrell and build the second airport at Badgerys Creek....  http://fb.me/1piZaonB0 "
0,0,nswpolice,N/A
2292,0,sunriseon7,Qantas and Jetstar confirm they would use a western Sydney airport at Badgerys Creek #sun7 #headlines
0,0,2GB873,N/A
0,0,alexhart7,N/A
35,0,7NewsSydney,"The approval process to build four new jobs precincts around the future Western Sydney airport has been fast-tracked by the NSW government. It says the area, which will be home to 200,000 jobs, will incorporate thousands of hectares around Badgerys Creek. #nswpol #7NEWS pic.twitter.com/wnoq3liHsUBadgerys Creek: 475 jobs will be created at a new @CSIRO research hub at the Western Sydney Aerotropolis. The area next to the new airport will eventually host 200,000 jobs, including CSIRO staff relocating from North Ryde and Marsfield.  http://7NEWS.com.au  #nswpol #7NEWS pic.twitter.com/n0DjfhlfPaThousands of new jobs are being promised for Western Sydney with plans announced today for a major new hub near the future Badgerys Creek Airport. Work on the multi-billion dollar site is expected to start next year.  http://7NEWS.com.au  @PeterFegan7 #nswpol #7NEWS pic.twitter.com/kwI0FSIE37Thousands of new jobs are being promised in Western Sydney with plans announced for a new industrial precinct near Badgerys Creek airport.  http://7NEWS.com.au  @PeterFegan7 #nswpol #7NEWS pic.twitter.com/UnrKIOzCLcThe coronavirus crisis has prompted an early start to the new Western Sydney Airport rail link with the promise of 14,000 jobs. The Metro line will run from St Marys south to Badgerys Creek, and construction is set to begin this year.  http://7news.link/2AvzbiY  #SydneyMetro #7NEWS pic.twitter.com/8M7Poo8WMl.@ScottMorrisonMP says construction work on a metro line connecting the Western Sydney Airport at Badgerys Creek to St Marys will begin before the end of the year. #auspol #7NEWS  https://7news.com.au/politics/west-syd-airport-metro-line-expedited-c-1071166 …Sydney took another step towards getting its second airport with the next phase of earthworks getting underway at Badgerys Creek. Over the next few years, 25 million cubic metres will be shifted forming the foundations for runways and terminals.  http://7NEWS.com.au  #7NEWS pic.twitter.com/5YtzvqzNIz7NEWS has been given a glimpse into the future with a first look at the design for the new Western Sydney Airport at Badgerys Creek. The winning architects say they took inspiration from the local area, and translated it into the building.  http://7NEWS.com.au  #7NEWS pic.twitter.com/YHRqMh5Tp1There's been a landmark announcement for the new airport city at Badgerys Creek. The first tenant will be Japanese conglomerate Hitachi, which will set up what's known as a Kyoso Centre, the first outside Japan. Construction is expected to start in three years. #7NEWS pic.twitter.com/YLZX9j6eaAAs many as 40 properties will be acquired, and 74 hectares of native vegetation bulldozed, to make way for the new M12 motorway that will run past the Badgerys Creek Airport. Construction on the M12 is due to begin in 2022.  http://7NEWS.com.au  #7NEWS pic.twitter.com/d3ftCOBPqhIn a win for Western Sydney, an international defence giant is to take up residence in the new city being built at Badgerys Creek Airport. @GladysB, who's in London, signed a deal today with UK company BAE to deliver a new space and research centre. @Seanberry7news #nswpol #7NEWS pic.twitter.com/9rZAVZcgM97NEWS has been given an exclusive bird's eye view of the new road at Badgerys Creek that will cater to millions of commuters - in time for the opening of the new Western Sydney Airport. @samanthabrett #7NEWS pic.twitter.com/swNc3QxJKVWe're often being told how good the new Badgerys Creek Airport will be for Western Sydney. But hundreds of residents living next door fear it could destroy their livelihoods. They say a new zoning plan has slashed their property values. @alexhart7 #7News pic.twitter.com/0ayY6tfMIiThe NSW government's Sydney metro will extend to the new airport at Badgerys Creek and further into Sydney's southwest if the coalition is re-elected on March 23, the premier says. @GladysB today announced four new routes with early planning to start over the next four years. pic.twitter.com/4S4LYC3YaoBadgerys Creek: Sydney's new airport will be named after Australia's first female pilot. The $5.3Bn project, will be known as the Western Sydney International - Nancy-Bird Walton. Ms Walton began her career flying nurses to rural regions and was known as the Angel of the Outback  pic.twitter.com/gY14MVZgDsThere's been a win for jobs and Badgerys Creek Airport with plans to build a $10M training facility. ""We wanted to be close to a 24 hour airport, our business is beginning to become quite global"" - Dr Aniss Chami - CEO - Vitex. #7News pic.twitter.com/saBvyaQyEBThere's been a win for jobs and Badgerys Creek Airport with plans to build a $10M training facility. ""We wanted to be close to a 24 hour airport, our business is beginning to become quite global"" - Dr Aniss Chami - CEO - Vitex. #7News pic.twitter.com/YUumnIgm6dThere's been a win for jobs and Badgerys Creek Airport with plans to build a $10M training facility. ""We wanted to be close to a 24 hour airport, our business is beginning to become quite global"" - Dr Aniss Chami - CEO - Vitex. #7News pic.twitter.com/BcbTh4E8JDThere are two new developments tonight involving Badgerys Creek airport. We have the latest master plan for what's called the Northern Gateway City which is expected to create 56,000 jobs. @ChrisReason7 #7News pic.twitter.com/oFi8ETu1OcThey've been raising a stink about it for years but now residents in Luddenham could finally get a proper sewerage system. Locals are hoping the long awaited construction of Badgerys Creek Airport will be the push needed to lock it in. #Luddenham #7News pic.twitter.com/GeGpOqvQdBConstruction has finally begun on Western Sydney Airport at Badgerys Creek. PM @ScottMorrisonMP kicked off the commencement of the project just 50-years after planning first began. @ChrisReason7 #auspol #7News pic.twitter.com/q6sqZwrAPZPM @ScottMorrisonMP has claimed credit for the start of work on Badgerys Creek Airport. Mr Morrison told guests on the site today that previous governments have kicked the project down the road for way too long. @telester #auspol #7News pic.twitter.com/b3Krqwfl18.@ScottMorrisonMP has signalled the start of construction at the site of Sydney's second airport at Badgerys Creek. @jessicaridleytv #auspol #7News pic.twitter.com/bckENcSsFbConstruction is set to begin at Badgerys Creek airport. #7News pic.twitter.com/kZrpm7OeWFSydney is set to receive another university, with a campus to be built at the new Badgerys Creek Airport. #7News pic.twitter.com/clgJYjaZWdToll road pain keeps coming for Sydney drivers. 7 News has seen government plans to extend the M5 motorway to connect with the controversial outer ring road near Badgerys Creek airport. @Seanberry7news #nswpol #7News pic.twitter.com/2dsQea3nU2Toll road pain keeps coming for Sydney drivers. 7 News has seen government plans to extend the M5 motorway to connect with the controversial outer ring road near Badgerys Creek airport. @Seanberry7news #nswpol #7News pic.twitter.com/jLm6sjlWNiToll road pain keeps coming for Sydney drivers. 7 News has seen government plans to extend the M5 motorway to connect with the controversial outer ring road near Badgerys Creek airport. @Seanberry7news #nswpol #7News pic.twitter.com/LIrHRvuzPBToll road pain keeps coming for Sydney drivers. 7 News has seen government plans to extend the M5 motorway to connect with the controversial outer ring road near Badgerys Creek airport. @Seanberry7news #nswpol #7News pic.twitter.com/beJjmFY8Lf.@VirginAustralia has announced it'll be on board with the Western Sydney airport at Badgerys Creek from day one. #7News pic.twitter.com/XYEKwgmWn5Jobs, health, education and the new airport at Badgerys Creek have come under scrutiny at a landmark event featuring Western Sydney students. The teenagers gathered to develop strategies to try and tackle the issues they'll face over the next 30 years. @NinaBStevens #7News pic.twitter.com/WzQsbBFGscThe ink is drying tonight on the first contracts to begin construction on Badgerys Creek Airport. @PaulKadak #BadgerysCreek #7News pic.twitter.com/wlgTdukRPoSt Vincent's Hospital has announced plans to move west. Not by relocating from Darlinghurst but by building a new health campus at Badgerys Creek to cater for the population boom as the new airport takes off. #7News pic.twitter.com/K9ESVZENUlWe've got Badgerys Creek, Western Sydney Airport and even the ungainly Aerotropolis. Now the hunt is on for an official new name for Sydney's newest airport. @Seanberry7news #BadgerysCreek #7News pic.twitter.com/MugcZlo530M9 Outer Orbital: Running from north western Sydney, the planned route links to Badgerys Creek Airport continuing south past Camden and on to Appin. ""We've done extensive research across western Sydney, topographical research"" - @stuartayresmp.  http://bit.ly/2L3CUUZ  #7News pic.twitter.com/Ea0sj3YmfrThere's been a major development involving Western Sydney Airport at Badgerys Creek. Even though it's years from completion the airport precinct has been declared 'open for business' with the Prime Minister and Premier pitching a plan to international investors. @ChrisReason7 pic.twitter.com/z1ZTuxdVBUHome owners near the Badgerys Creek Airport site  are demanding answers about crucial planning decisions so they can plan for their futures. #BadgerysCreek #7News pic.twitter.com/i4GgxHne9zProperty prices in some Western Sydney suburbs are really taking off thanks to the new airport planned for Badgerys Creek. 'For Sale' signs with multi million dollar price tags are popping up all over as developers swoop in. @samanthabrett #sydre #7News pic.twitter.com/Msbns8B5B7After years in the making a multi billion dollar plan to transform Western Sydney has finally been inked. As 7 News reported exclusively last night the deal will see the go ahead of a train line to Badgerys Creek Airport a council spending spree and a jobs boom. @Sacre88 #7News pic.twitter.com/6k7BMvnm51""This City Deal commits our governments to the development of a North-South Rail Link that initially at least, will connect St Mary’s in the north to the Airport and a new Badgerys Creek Aerotropolis in the south"" - @TurnbullMalcolm - Prime Minister https://www.pscp.tv/7NewsSydney/1OyKANRVkkDGb …Design plans have been announced for the new M12 Motorway connecting to Sydney's motorway network providing access to the Western Sydney Airport at Badgerys Creek. #7News pic.twitter.com/aK8i8CCYugBadgerys Creek: Sydney is getting a new motorway and early plans for M12 to Badgerys Creek airport have been released but there's still no word on the toll price or a potential rail line to the airport. Report on 7 News at 6pm. #BadgerysCreek #7News pic.twitter.com/QPsWs3EPmQAfter years of preparation construction of the Badgerys Creek Airport is finally underway. @PaulFletcherMP says two important milestones are met as the area changes from farmland to construction site.  #BadgerysCreek #7News pic.twitter.com/PdhN9YPDZHBadgerys Creek: 7 News exclusively reveals the route of the train line to the new airport.@Seanberry7news #BadgerysCreek #7News pic.twitter.com/Sg5KyQH3voNSW Government has updated its transport master plan, but there's still no timetable for a rail connection to Badgerys Creek Airport. #7News pic.twitter.com/PxQGr3JWuKThe new plan to run a rail line from Sydney's northwest to the southwest linked by Badgerys Creek Airport. #7News pic.twitter.com/I2pHj7akVzBadgerys Creek airport confirms headquarters will be built in Liverpool bringing a mass of local jobs to the region. #7News pic.twitter.com/YD8MtP89ajBadgerys Creek airport confirms headquarters will be built in Liverpool bringing a mass of local jobs to the region. @jessdietrich7 #7News pic.twitter.com/oUaplE7NDiLiverpool revealed as headquarters for Badgerys Creek airport meaning major jobs boost for region. @jessdietrich7 #7News pic.twitter.com/P3Ijczb7PlThe Premier says she's close to making an announcement on a rail link to the Western Sydney Airport at Badgerys Creek. @Seanberry7news  pic.twitter.com/Absu29ttgtBlue Mountains and Blacktown communities have rallied to protest against the lack of a curfew at the new Badgerys Creek Airport. #7News pic.twitter.com/EjAsMI8tJbBadgerys Creek: State Govt planning for metro train. ""It's not a train that will go directly from the airport to the CBD"" - @AndrewConstance pic.twitter.com/jAIv2RMaJ4Badgerys Creek Airport: @AndrewConstance says a Federal Government plan for a train could create ""pressure"" on the T1 Western Line. #7News pic.twitter.com/kJzMhU71yxUS aerospace giant Northrop Grumman announced plans for $50 million facility at Badgerys Creek airport. It could create up to 500 jobs.  pic.twitter.com/khmwKwn7BuBadgerys Creek: The deadline is looming for a decision on who will build and operate Sydney's second Airport but it will go ahead. #7News pic.twitter.com/kysZnBS5tkSydney Airport Corporation is likely to turn down the opportunity to develop Badgerys Creek airport due to high financial risk. #7News pic.twitter.com/rlSJoa2ImQ7 News at 6pm: Feud over Badgerys Creek airport. #7News pic.twitter.com/e6TmCqBxGNThere are now 11 options for rail connections to Sydney’s new Badgerys Creek airport. #7News http://snpy.tv/2cDkKsj Opponents of Badgerys Creek airport call final Environmental Impact Statement a con job. @Seanberry7News #7News  http://snpy.tv/2cHbmr9 $400m road promise by @mikebairdMP. Creating a new road network around Badgerys Creek Airport. @jeloscek #nswpol http://snpy.tv/1XxgE9A NEXT on 7 News: @mikebairdMP's $400m road promise. Creating a road network around the new Badgerys Creek Airport.  pic.twitter.com/UsYcFJmChwThe government is redesigning flight paths for Badgerys Creek airport. @jessdietrich7 #7News  http://snpy.tv/1q38tmL 7 News at 6pm: People power wins the battle over aircraft noise for the new Badgerys Creek airport. #7News pic.twitter.com/VeducZvPDjLarge part of Sydney will now have to deal with aircraft noise when Badgerys Creek airport opens #7News  http://snpy.tv/1TqXAmo Labor is promising to restrict flights at Badgerys Creek airport if it wins the Federal Election. #7News http://snpy.tv/22PHjfZ How hotels will cash in on opportunities that will come with the Badgerys Creek Airport. @ChloeAmandaB #GoWest2016 http://snpy.tv/1oWG1m8 Protesters against Badgerys Creek Airport booed the Prime Minister during his visit to Glenbrook. #7News  http://snpy.tv/22Nwfp4 .@TurnbullMalcolm wants a high speed rail link for Badgerys Creek airport open in 20-26. @ChrisReason7 #7News http://snpy.tv/1RDcCVp 7 News at 6pm: See the plans for fast rail to link the city and Badgerys Creek airport. #7News pic.twitter.com/S8zzdBnAce38C at Sydney Airport and Badgerys Creek. 36C at Terrey Hills. Hot, possible late shower tomorrow.  http://bit.ly/7NewsSydneyWeather …Badgerys Creek Airport: Report says airport noise won't be as bad as Mascot. STORY:  http://yhoo.it/1MNIuIN  #7News pic.twitter.com/gymEa7OgYrBadgerys Creek Airport: Second runway planned for 2050. STORY:  http://yhoo.it/1MNIuIN  #BadgerysCreek #7News pic.twitter.com/mcSpVAw3gK.@TurnbullMalcolm says Badgerys Creek airport needs a rail link. MORE:  http://yhoo.it/1LQDXQE  http://snpy.tv/1LRA98d .@TurnbullMalcolm says the new Badgerys Creek airport won't work in the longer term unless it has rail links. STORY:  http://yhoo.it/1LQDXQE It's the new battle over Badgerys Creek for trains to the future Western Sydney airport. @PaulKadak #7News http://snpy.tv/1On95fQ Renewed push for rail link to Sydney's Badgerys Creek airport. Chris Maher reports. WATCH:  http://yhoo.it/1KOLHVL  #7NewsTONIGHT: @Luke_FoleyNSW is proposing that Bankstown Airport be moved to Badgerys Creek. @jeloscek pic.twitter.com/AwU76bzlwMFIRST ON 7: @jeloscek reveals that $164M will be spent to upgrade roads around Badgerys Creek airport site. #nswpol  http://snpy.tv/1LeLRay Labor has promised a rail line and roads which will connect with the planned airport at Badgerys Creek | @jeloscek  http://yhoo.it/1xjbjSc Labor's plan for new rail links for Badgerys Creek airport.  http://yhoo.it/1NRdTcG Sydney to get a new rail line to go with the new airport at Badgerys Creek @AdamWalters07  http://yhoo.it/1mQTsB7  pic.twitter.com/zVHHcQbyF8NEXT: It's Badgerys Creek - but when will Sydney's second airport will be built? @alexhart7 reports #7NewsSyd pic.twitter.com/eqcitknLVe"
214,0,BenFordhamLive,"Would you pay extra every time you go on a plane to pay for the new airport at Badgerys Creek?  http://www.2gb.com/article/ben-fordham-%E2%80%93-surcharge-pay-badgerys-creek ….@JoeHockey wants to name Sydney's 2nd airport after ""Lawrence Hargrave"" and call Badgerys Creek - ""Bradfield City""."
