Source,Target,Link
roslw,Wendy_Bacon,1
TheLeftFoot2,fotic8,1
ilovehaberfield,lucille_mckenna,1
ilovehaberfield,IWCouncil,1
ilovehaberfield,johaylen,1
ilovehaberfield,vittoriaraciti,1
ilovehaberfield,MayorDarcy,1
ilovehaberfield,AndrewConstance,1
ilovehaberfield,TransportforNSW,1
erinrileyau,niltiac,1
westconnex,roadrunnerz45,1
christianlexus,pixeltoofar,1
christianlexus,AlanTudgeMP,1
christianlexus,westconnex,1
christianlexus,PreeceScott,1
christianlexus,AlanTudgeMP,1
christianlexus,westconnex,1
melanie00889936,AlanTudgeMP,1
melanie00889936,westconnex,1
antroberts68,AlanTudgeMP,1
antroberts68,westconnex,1
pixeltoofar,AlanTudgeMP,1
pixeltoofar,westconnex,1
misguidedjenni,AlanTudgeMP,1
misguidedjenni,westconnex,1
railmaps,AlanTudgeMP,1
railmaps,westconnex,1
FixNSWTransport,AlanTudgeMP,1
FixNSWTransport,westconnex,1
KrupNeil,RitaPanahi,1
KrupNeil,theheraldsun,1
roadrunnerz45,westconnex,1
MathewHounsell,LiberalNSW,1
PreeceScott,AlanTudgeMP,1
PreeceScott,westconnex,1
davidakaclean,AlanTudgeMP,1
davidakaclean,westconnex,1
douglasrasbash,AlanTudgeMP,1
douglasrasbash,westconnex,1
DrRonBaumann,AlanTudgeMP,1
DrRonBaumann,westconnex,1
CharlesHolly13,AlanTudgeMP,1
CharlesHolly13,westconnex,1
AlanTudgeMP,westconnex,1
ht_isfj,angelapriestley,1
StuartHickson_,TransportforNSW,1
StuartHickson_,GladysB,1
westconnex,callicoma,1
StuartHickson_,GladysB,1
StuartHickson_,TransportforNSW,1
StuartHickson_,GladysB,1
StuartHickson_,TransportforNSW,1
escalatorover,Wendy_Bacon,1
escalatorover,AnnaPattySMH,1
escalatorover,smh,1
TowballDan,GladysB,1
TowballDan,AndrewConstance,1
TowballDan,AlanTudgeMP,1
callicoma,Fractal10,1
callicoma,SydneyCycleway,1
callicoma,TransportforNSW,1
callicoma,IWCouncil,1
callicoma,TransportforNSW,1
callicoma,westconnex,1
callicoma,NSWDPIE,1
TowballDan,GladysB,1
TowballDan,AndrewConstance,1
fuzzi_mcapples,k_morrissey,1
HighamLiane,AndrewConstance,1
HighamLiane,SydneyCycleway,1
badboybooze,MadFckingWitch,1
FrancesWilmore,tilly64,1
FrancesWilmore,JodiMcKayMP,1
FrancesWilmore,GladysB,1
LouLouTweet,TransportforNSW,1
jon_look585,CloverMoore,1
jon_look585,FionaBike,1
jon_look585,AndrewConstance,1
matthewscleary5,9NewsSyd,1
matthewscleary5,eddy_meyer,1
PAFC_NSWMember,88888sAccount,1
peter_hill_,StrategicCities,1
westconnex,RJBHutchinson,1
RJBHutchinson,westconnex,1
restofnswinc,NSWNationals,1
jjjohncau,RDNS_TAI,1
StuartHickson_,GladysB,1
sydbusinspector,BIKESydney,1
sydbusinspector,westconnex,1
sydbusinspector,TransportforNSW,1
sydbusinspector,AlboMP,1
goyderssteps,westconnex,1
baltoria,westconnex,1
baltoria,SUrbanist,1
BicycleNSW,MichaelOReilly_,1
BIKESydney,westconnex,1
BIKESydney,TransportforNSW,1
BIKESydney,AlboMP,1
FrancesWilmore,JodiMcKayMP,1
FrancesWilmore,GladysB,1
FrancesWilmore,Dom_Perrottet,1
bevm1066,westconnex,1
bevm1066,RoryRonaldo,1
stevebetteridg6,westconnex,1
Agent_Jase,westconnex,1
TowballDan,westconnex,1
TowballDan,RoryRonaldo,1
TowballDan,westconnex,1
TowballDan,westconnex,1
kinokofry,westconnex,1
KrupNeil,RealMarkLatham,1
westconnex,RoryRonaldo,1
Drizt81,westconnex,1
james_burgess,westconnex,1
tilly64,CrocodileChuck,1
tilly64,westconnex,1
tilly64,The_New_City,1
tilly64,BusStopBoxer,1
tilly64,westconnex,1
tilly64,GladysB,1
paulinelockie,TransportforNSW,1
sharperstill,westconnex,1
cryogyny,westconnex,1
_gbatt,westconnex,1
cryogyny,RobStokesMP,1
cryogyny,NSWDPIE,1
cryogyny,CloverMoore,1
cryogyny,cityofsydney,1
cryogyny,ParraPark,1
cryogyny,Lpool_Council,1
trashyhonky,westconnex,1
AxleRyde,westconnex,1
shaunrowland,westconnex,1
rolandpostma,danchirps,1
rolandpostma,CrocodileChuck,1
rolandpostma,westconnex,1
rolandpostma,The_New_City,1
james_eoghan,westconnex,1
CoxyJindas,westconnex,1
AxleRyde,westconnex,1
SEATalliance,westconnex,1
BusStopBoxer,westconnex,1
Cyclify,railmaps,1
Cyclify,westconnex,1
danchirps,CrocodileChuck,1
danchirps,westconnex,1
danchirps,The_New_City,1
RoryRonaldo,westconnex,1
railmaps,westconnex,1
CrocodileChuck,westconnex,1
CrocodileChuck,The_New_City,1
FutureNotPast,JodiMcKayMP,1
FutureNotPast,GladysB,1
TowballDan,IWCouncil,1
TowballDan,nswpolice,1
ToneTempa,Charliieboy1,1
Margot39554131,westconnex,1
Margot39554131,Transurban,1
nigelparsons85,GladysB,1
tilly64,9NewsSyd,1
tilly64,cokeefe9,1
tilly64,GladysB,1
westconnex,john_ready,1
FixNSWTransport,AlanTudgeMP,1
FixNSWTransport,westconnex,1
john_ready,westconnex,1
Keith28761064,GuidoTresoldi,1
Keith28761064,DanielAndrewsMP,1
Keith28761064,GladysB,1
asherspira,RyanRoff4,1
asherspira,StreetNewsAU,1
asherspira,petersarmas,1
jrobens,TheSydneyBlog,1
jrobens,CloverMoore,1
jrobens,RobStokesMP,1
jrobens,MayorDarcy,1
cherrypieit,tilly64,1
cherrypieit,AlexDevantier,1
DosVaper,AlanTudgeMP,1
DosVaper,westconnex,1
peter_hill_,MathewHounsell,1
konkaba,westconnex,1
mackaysuzie,politicaltragic,1
_St_Mack,AlanTudgeMP,1
_St_Mack,westconnex,1
AlanTudgeMP,westconnex,1
JArciuli,AttardMon,1
westconnex,konkaba,1
paulinelockie,PhilipThalis,1
StuartHickson_,GreensNSW,1
westconnex,socrates1113,1
socrates1113,processofimport,1
socrates1113,westconnex,1
socrates1113,AndrewConstance,1
westconnex,processofimport,1
processofimport,westconnex,1
processofimport,AndrewConstance,1
konkaba,westconnex,1
achuter,RobStokesMP,1
achuter,NSWDPIE,1
achuter,CloverMoore,1
achuter,cityofsydney,1
achuter,ParraPark,1
achuter,Lpool_Council,1
PHarrismusings,evelynedeleeuw,1
PHarrismusings,BicycleNSW,1
PHarrismusings,billbellew,1
PHarrismusings,smh,1
evelynedeleeuw,BicycleNSW,1
evelynedeleeuw,billbellew,1
evelynedeleeuw,smh,1
evelynedeleeuw,PHarrismusings,1
parkupthecar,fictillius,1
parkupthecar,NSWLabor,1
parkupthecar,RyanPark_Keira,1
FixNSWTransport,AlanTudgeMP,1
FixNSWTransport,westconnex,1
petersc2u,ALP,1
Mitchyball,AlanTudgeMP,1
Mitchyball,westconnex,1
Mitchyball,michaelobrienmp,1
Mitchyball,kevinandrewsmp,1
MiddleMoney,MathewHounsell,1
AlanTudgeMP,westconnex,1
NSWGR8022,JimBuckley73,1
NSWGR8022,AlanTudgeMP,1
NSWGR8022,westconnex,1
JimBuckley73,AlanTudgeMP,1
JimBuckley73,westconnex,1
NSWGR8022,AlanTudgeMP,1
NSWGR8022,westconnex,1
TowballDan,chrisnelder,1
TowballDan,kmac,1
ShazzaCook,westconnex,1
tilly64,JodiMcKayMP,1
tilly64,MrKRudd,1
_crazydude619_,StrayanDrongo,1
_crazydude619_,TimSmithMP,1
_crazydude619_,DanielAndrewsMP,1
GlennColgan,DennisMenace54,1
GlennColgan,theage,1
tegiacden,roseannebyrne,1
tegiacden,Politics_SMHAGE,1
tegiacden,AlexSmithSMH,1
Fractal10,MathewHounsell,1
westconnex,baabolo,1
westconnex,amelizajane,1
baabolo,westconnex,1
amelizajane,westconnex,1
_crazydude619_,AnnieWyer,1
_crazydude619_,giveusafairgo,1
_crazydude619_,mavsmum,1
_crazydude619_,AlboMP,1
_crazydude619_,KristyMcBain,1
SusanneLarson,PhilipThalis,1
SusanneLarson,GreensJamieP,1
cryogyny,PhilipThalis,1
eightiestragic,RollStrollRide,1
eightiestragic,PhilipThalis,1
eightiestragic,gscsydney,1
Schtang,7NewsSydney,1
Schtang,alexhart7,1
TowballDan,GregVann,1
TowballDan,paulinelockie,1
TowballDan,NSWDPIE,1
TowballDan,MathewHounsell,1
TowballDan,GladysB,1
TowballDan,stuartayresmp,1
TowballDan,AndrewConstance,1
MathewHounsell,trnsprtst,1
MathewHounsell,fictillius,1
apicot,ConversationEDU,1
MathewHounsell,fictillius,1
ProfTimStephens,fictillius,1
CoffeeMumSwims,GladysB,1
CoffeeMumSwims,westconnex,1
IWCouncil,GladysB,1
IWCouncil,TransportforNSW,1
apicot,multimodalism,1
apicot,kate_eviva,1
Keith28761064,MayorDarcy,1
Keith28761064,westconnex,1
Keith28761064,GladysB,1
Keith28761064,AndrewConstance,1
StuartHickson_,TransportforNSW,1
StuartHickson_,AndrewConstance,1
tilly64,niltiac,1
tilly64,MrDenmore,1
westconnex,CoffeeMumSwims,1
CoffeeMumSwims,IwcRose,1
CoffeeMumSwims,IWCouncil,1
CoffeeMumSwims,MayorDarcy,1
CoffeeMumSwims,westconnex,1
CoffeeMumSwims,GladysB,1
ax_martinez,IWCouncil,1
ax_martinez,smh,1
paulinelockie,IwcRose,1
paulinelockie,IWCouncil,1
paulinelockie,WestConnexAG,1
paulinelockie,IwcRose,1
paulinelockie,IWCouncil,1
paulinelockie,WestConnexAG,1
96dbFreak,queenmcmeade,1
96dbFreak,bradhooperarch,1
96dbFreak,UNESCO,1
96dbFreak,emfarrelly,1
96dbFreak,AdamSearleMLC,1
96dbFreak,totenviro,1
96dbFreak,ShoebridgeMLC,1
96dbFreak,savesydco,1
96dbFreak,PhilipThalis,1
96dbFreak,JodiMcKayMP,1
96dbFreak,ShaunCarter70,1
96dbFreak,KateRWashington,1
96dbFreak,nationaltrustau,1
paulinelockie,IwcRose,1
paulinelockie,IWCouncil,1
paulinelockie,WestConnexAG,1
MeganGorrey,smh,1
StuartHickson_,GladysB,1
StuartHickson_,AndrewConstance,1
StuartHickson_,TransportforNSW,1
manny_christou,IWCouncil,1
manny_christou,westconnex,1
manny_christou,theage,1
anthonyseiver,MathewHounsell,1
anthonyseiver,Fractal10,1
anthonyseiver,Fractal10,1
anthonyseiver,MathewHounsell,1
pv_reynolds,DarrenDavis10,1
westconnex,shanebazzi,1
shanebazzi,westconnex,1
aus_business,BridgetCarterb,1
StuartBDonovan,MHReddell,1
StuartBDonovan,libertyscott,1
Dyllip,ortenzi,1
Dyllip,fictillius,1
Dyllip,chrisrauchle,1
paulinelockie,IWCouncil,1
paulinelockie,IWCouncil,1
Kooribaz,westconnex,1
westconnex,Kooribaz,1
